ID,SKU,Marke,Produkt,Kategorie,Status,Beschreibung neu,Kurzbeschreibung neu,SEO-Titel,Meta-Description,Focus-Keyword,Quelle
7348,HJ-5163699,(sonstige),10% CBD ÖL 10ml Vollspektrum,CBD Öl,fertig,"<p>Dieses Vollspektrum-Öl enthält 10 % CBD und CBDA in 10 ml. Das Verhältnis von CBD zu CBDA liegt bei etwa 9 zu 1 – CBDA ist die Säureform, aus der beim Erhitzen CBD entsteht.</p>
<p>Das Extrakt wird per CO₂-Extraktion aus handverlesenen, schonend getrockneten Hanfblüten gewonnen. Neben den Cannabinoiden bleiben dabei auch Terpene und Flavonoide der Pflanze erhalten. Der THC-Gehalt liegt unter 0,2 %.</p>
<h3>Auf einen Blick:</h3>
<ul>
<li><b>CBD- und CBDA-Gehalt:</b> 10 %</li>
<li><b>Verhältnis CBD zu CBDA:</b> etwa 9 zu 1</li>
<li><b>Inhalt:</b> 10 ml</li>
<li><b>Spektrum:</b> Vollspektrum</li>
<li><b>Extraktion:</b> CO₂-Extraktion</li>
<li><b>THC:</b> unter 0,2 %</li>
<li><b>Rohstoff:</b> EU-Nutzhanf, handverlesene Blüten</li>
<li><b>Produktkategorie:</b> Aromaprodukt</li>
</ul>
<h3>Hinweise</h3>
<p>CBD-Öle werden in Deutschland als Aromaprodukt gehandelt und sind nicht zum Verzehr bestimmt. Angaben zu einer gesundheitlichen Wirkung sind nicht zulässig und werden hier bewusst nicht gemacht. Kühl, trocken und lichtgeschützt lagern, außerhalb der Reichweite von Kindern. Nicht für Schwangere, Stillende und Kinder.</p>
","<p>Vollspektrum-Öl mit 10 % CBD und CBDA in 10 ml – CO₂-Extraktion aus handverlesenen Blüten, THC unter 0,2 %.</p>
",10% CBD Öl 10 ml Vollspektrum kaufen | Hanfjack,"Vollspektrum-CBD-Öl 10 %, 10 ml: CO₂-Extraktion aus EU-Nutzhanf, CBD-CBDA-Verhältnis 9 zu 1, THC unter 0,2 %. Jetzt bei Hanfjack bestellen.",10% CBD ÖL 10ml Vollspektrum,"Produktdaten Shop und Herstellerangaben, abgerufen 14.09.2026"
7349,HJ-9827834,(sonstige),15% CBD ÖL 10ml Vollspektrum,CBD Öl,fertig,"<p>Dieses Vollspektrum-Öl enthält 15 % CBD und CBDA in 10 ml. Das Verhältnis von CBD zu CBDA liegt bei etwa 14 zu 1 – CBDA ist die Säureform, aus der beim Erhitzen CBD entsteht.</p>
<p>Das Extrakt wird per CO₂-Extraktion aus handverlesenen, schonend getrockneten Hanfblüten gewonnen. Neben den Cannabinoiden bleiben dabei auch Terpene und Flavonoide der Pflanze erhalten. Der THC-Gehalt liegt unter 0,2 %.</p>
<h3>Auf einen Blick:</h3>
<ul>
<li><b>CBD- und CBDA-Gehalt:</b> 15 %</li>
<li><b>Verhältnis CBD zu CBDA:</b> etwa 14 zu 1</li>
<li><b>Inhalt:</b> 10 ml</li>
<li><b>Spektrum:</b> Vollspektrum</li>
<li><b>Extraktion:</b> CO₂-Extraktion</li>
<li><b>THC:</b> unter 0,2 %</li>
<li><b>Rohstoff:</b> EU-Nutzhanf, handverlesene Blüten</li>
<li><b>Produktkategorie:</b> Aromaprodukt</li>
</ul>
<h3>Hinweise</h3>
<p>CBD-Öle werden in Deutschland als Aromaprodukt gehandelt und sind nicht zum Verzehr bestimmt. Angaben zu einer gesundheitlichen Wirkung sind nicht zulässig und werden hier bewusst nicht gemacht. Kühl, trocken und lichtgeschützt lagern, außerhalb der Reichweite von Kindern. Nicht für Schwangere, Stillende und Kinder.</p>
","<p>Vollspektrum-Öl mit 15 % CBD und CBDA in 10 ml – CO₂-Extraktion aus handverlesenen Blüten, THC unter 0,2 %.</p>
",15% CBD Öl 10 ml Vollspektrum kaufen | Hanfjack,"Vollspektrum-CBD-Öl 15 %, 10 ml: CO₂-Extraktion aus EU-Nutzhanf, CBD-CBDA-Verhältnis 14 zu 1, THC unter 0,2 %. Jetzt bei Hanfjack bestellen.",15% CBD ÖL 10ml Vollspektrum,"Produktdaten Shop und Herstellerangaben, abgerufen 14.09.2026"
27927,HJ-3184399,(sonstige),20ml Abfüllhilfe,Growzubehör,fertig,"<p>Diese Abfüllhilfe fasst 20 ml und hat eine 1-ml-Teilung. Sie deckt damit den Bereich zwischen der feinen 5-ml-Spritze und dem Messbecher ab.</p>
<p>Wie die kleinere Variante ist sie für den nichtmedizinischen Einsatz gedacht und lässt sich nach dem Ausspülen mehrfach verwenden.</p>
<h3>Auf einen Blick:</h3>
<ul>
<li><b>Volumen:</b> 20 ml</li>
<li><b>Teilung:</b> 1 ml</li>
<li><b>Einsatz:</b> nichtmedizinisch, für Dünger, Booster und Zusatzstoffe</li>
<li><b>Wiederverwendung:</b> nach dem Ausspülen mehrfach nutzbar</li>
</ul>
<h3>Hinweise</h3>
<p>Für jedes Mittel eine eigene Spritze zu verwenden, spart Spülarbeit und verhindert, dass sich Reste verschiedener Produkte mischen.</p>
","<p>Einwegspritze mit 20 ml Volumen und 1-ml-Teilung – für mittlere Dosiermengen beim Düngen.</p>
",Abfüllhilfe 20 ml Dosierspritze kaufen | Hanfjack,"Abfüllhilfe 20 ml: Dosierspritze mit 1-ml-Teilung für Flüssigdünger, Booster und Zusatzstoffe. Jetzt bei Hanfjack bestellen.",20ml Abfüllhilfe,"Produktdaten Shop, abgerufen 14.09.2026"
20068,HJ-9269967,(sonstige),420z Leaf Blueberry 20 g – Kräutermischung 100% Nikotinfrei Tabakersatz,Tabakersatz,fertig,"<p>420z Leaf Blueberry ist eine Kräutermischung als Tabakersatz. Sie enthält weder Tabak noch Nikotin und wird als Feinschnitt mit deutscher Steuerbanderole abgegeben.</p>
<p>Die Basis bildet eine Kräutermischung ohne Zusatz von Tabak. Abgerundet wird sie mit einer Blaubeernote. Die Mischung lässt sich pur verwenden oder mit anderen Kräutern mischen.</p>
<h3>Auf einen Blick:</h3>
<ul>
<li><b>Inhalt:</b> 20 g Feinschnitt</li>
<li><b>Tabak und Nikotin:</b> nicht enthalten</li>
<li><b>Zusammensetzung:</b> Kräutermischung</li>
<li><b>Kennzeichnung:</b> deutsche Steuerbanderole</li>
</ul>
<h3>Hinweise</h3>
<p>Auch tabak- und nikotinfreie Rauchprodukte erzeugen beim Verbrennen Schadstoffe. Die Abgabe erfolgt ausschließlich an Personen ab 18 Jahren.</p>
","<p>Nikotin- und tabakfreier Kräuter-Feinschnitt mit Blaubeernote – 20 g mit deutscher Steuerbanderole.</p>
",420z Leaf Blueberry 20 g Tabakersatz kaufen | Hanfjack,"420z Leaf Blueberry, 20 g: nikotin- und tabakfreier Kräuter-Feinschnitt mit Blaubeernote. Jetzt bei Hanfjack bestellen.",420z Leaf Blueberry 20 g – Kräutermischung 100% Nikotinfrei Tabakersatz,"Produktdaten Shop, abgerufen 14.09.2026"
20066,HJ-2564742,(sonstige),420z Leaf Lemon 20 g – Kräutermischung 100% Nikotinfrei Tabakersatz,Tabakersatz,fertig,"<p>420z Leaf Lemon ist eine Kräutermischung als Tabakersatz. Sie enthält weder Tabak noch Nikotin und wird als Feinschnitt mit deutscher Steuerbanderole abgegeben.</p>
<p>Die Basis bildet eine Kräutermischung ohne Zusatz von Tabak. Abgerundet wird sie mit einer leichten Zitrusnote. Die Mischung lässt sich pur verwenden oder mit anderen Kräutern mischen.</p>
<h3>Auf einen Blick:</h3>
<ul>
<li><b>Inhalt:</b> 20 g Feinschnitt</li>
<li><b>Tabak und Nikotin:</b> nicht enthalten</li>
<li><b>Zusammensetzung:</b> Kräutermischung</li>
<li><b>Kennzeichnung:</b> deutsche Steuerbanderole</li>
</ul>
<h3>Hinweise</h3>
<p>Auch tabak- und nikotinfreie Rauchprodukte erzeugen beim Verbrennen Schadstoffe. Die Abgabe erfolgt ausschließlich an Personen ab 18 Jahren.</p>
","<p>Nikotin- und tabakfreier Kräuter-Feinschnitt mit leichter Zitrusnote – 20 g mit deutscher Steuerbanderole.</p>
",420z Leaf Lemon 20 g Tabakersatz kaufen | Hanfjack,"420z Leaf Lemon, 20 g: nikotin- und tabakfreier Kräuter-Feinschnitt mit Zitrusnote. Jetzt bei Hanfjack bestellen.",420z Leaf Lemon 20 g – Kräutermischung 100% Nikotinfrei Tabakersatz,"Produktdaten Shop, abgerufen 14.09.2026"
20067,HJ-6445362,(sonstige),420z Leaf Rainbow 20 g – Kräutermischung 100% Nikotinfrei Tabakersatz,Tabakersatz,fertig,"<p>420z Leaf Rainbow ist eine Kräutermischung als Tabakersatz. Sie enthält weder Tabak noch Nikotin und wird als Feinschnitt mit deutscher Steuerbanderole abgegeben.</p>
<p>Die Mischung besteht aus: Himbeerblättern, Königskerze und Eibisch. Der Abbrand ist gleichmäßig, die Struktur fein. Die Mischung lässt sich pur verwenden oder mit anderen Kräutern mischen.</p>
<h3>Auf einen Blick:</h3>
<ul>
<li><b>Inhalt:</b> 20 g Feinschnitt</li>
<li><b>Tabak und Nikotin:</b> nicht enthalten</li>
<li><b>Zusammensetzung:</b> Himbeerblättern, Königskerze und Eibisch</li>
<li><b>Kennzeichnung:</b> deutsche Steuerbanderole</li>
</ul>
<h3>Hinweise</h3>
<p>Auch tabak- und nikotinfreie Rauchprodukte erzeugen beim Verbrennen Schadstoffe. Die Abgabe erfolgt ausschließlich an Personen ab 18 Jahren.</p>
","<p>Nikotin- und tabakfreier Kräuter-Feinschnitt aus Himbeerblättern, Königskerze und Eibisch – 20 g.</p>
",420z Leaf Rainbow 20 g Tabakersatz kaufen | Hanfjack,"420z Leaf Rainbow, 20 g: Kräuter-Feinschnitt aus Himbeerblättern, Königskerze und Eibisch, nikotinfrei. Jetzt bei Hanfjack bestellen.",420z Leaf Rainbow 20 g – Kräutermischung 100% Nikotinfrei Tabakersatz,"Produktdaten Shop, abgerufen 14.09.2026"
7347,HJ-2795676,(sonstige),5% CBD ÖL 10ml Vollspektrum,CBD Öl,fertig,"<p>Dieses Vollspektrum-Öl enthält 5 % CBD und CBDA in 10 ml. Das Verhältnis von CBD zu CBDA liegt bei etwa 4 zu 1 – CBDA ist die Säureform, aus der beim Erhitzen CBD entsteht.</p>
<p>Das Extrakt wird per CO₂-Extraktion aus handverlesenen, schonend getrockneten Hanfblüten gewonnen. Neben den Cannabinoiden bleiben dabei auch Terpene und Flavonoide der Pflanze erhalten. Der THC-Gehalt liegt unter 0,2 %.</p>
<h3>Auf einen Blick:</h3>
<ul>
<li><b>CBD- und CBDA-Gehalt:</b> 5 %</li>
<li><b>Verhältnis CBD zu CBDA:</b> etwa 4 zu 1</li>
<li><b>Inhalt:</b> 10 ml</li>
<li><b>Spektrum:</b> Vollspektrum</li>
<li><b>Extraktion:</b> CO₂-Extraktion</li>
<li><b>THC:</b> unter 0,2 %</li>
<li><b>Rohstoff:</b> EU-Nutzhanf, handverlesene Blüten</li>
<li><b>Produktkategorie:</b> Aromaprodukt</li>
</ul>
<h3>Hinweise</h3>
<p>CBD-Öle werden in Deutschland als Aromaprodukt gehandelt und sind nicht zum Verzehr bestimmt. Angaben zu einer gesundheitlichen Wirkung sind nicht zulässig und werden hier bewusst nicht gemacht. Kühl, trocken und lichtgeschützt lagern, außerhalb der Reichweite von Kindern. Nicht für Schwangere, Stillende und Kinder.</p>
","<p>Vollspektrum-Öl mit 5 % CBD und CBDA in 10 ml – CO₂-Extraktion aus handverlesenen Blüten, THC unter 0,2 %.</p>
",5% CBD Öl 10 ml Vollspektrum kaufen | Hanfjack,"Vollspektrum-CBD-Öl 5 %, 10 ml: CO₂-Extraktion aus EU-Nutzhanf, CBD-CBDA-Verhältnis 4 zu 1, THC unter 0,2 %. Jetzt bei Hanfjack bestellen.",5% CBD ÖL 10ml Vollspektrum,"Produktdaten Shop und Herstellerangaben, abgerufen 14.09.2026"
27926,HJ-5672299,(sonstige),5ml Abfüllhilfe,Growzubehör,fertig,"<p>Diese Abfüllhilfe ist eine Einwegspritze mit 5 ml Fassungsvermögen und 0,2-ml-Teilung. Damit lassen sich kleinste Mengen zuverlässig abmessen.</p>
<p>Ausgelegt ist sie für den nichtmedizinischen Einsatz – im Growbereich wird sie für hochkonzentrierte Dünger und Zusätze verwendet, bei denen ein Messbecher zu ungenau ist. Trotz der Bezeichnung lässt sie sich nach dem Ausspülen mehrfach nutzen.</p>
<h3>Auf einen Blick:</h3>
<ul>
<li><b>Volumen:</b> 5 ml</li>
<li><b>Teilung:</b> 0,2 ml</li>
<li><b>Einsatz:</b> nichtmedizinisch, für Dünger und Zusatzstoffe</li>
<li><b>Wiederverwendung:</b> nach dem Ausspülen mehrfach nutzbar</li>
</ul>
<h3>Hinweise</h3>
<p>Nach Gebrauch gründlich mit klarem Wasser durchspülen. Reste im Zylinder verfälschen die nächste Dosierung, und bei konzentrierten Produkten ist das schnell relevant.</p>
","<p>Einwegspritze mit 5 ml Volumen und 0,2-ml-Teilung – zum genauen Dosieren hochkonzentrierter Zusätze.</p>
",Abfüllhilfe 5 ml Dosierspritze kaufen | Hanfjack,"Abfüllhilfe 5 ml: Dosierspritze mit 0,2-ml-Teilung für hochkonzentrierte Dünger und Zusätze. Jetzt bei Hanfjack bestellen.",5ml Abfüllhilfe,"Produktdaten Shop, abgerufen 14.09.2026"
27327,16409,(sonstige),AC Infinity Trim-Tablett-System,Trimmer,fertig,"<p>Das AC Infinity Trim-Tablett-System besteht aus mehreren gestapelten Tabletts: oben wird getrimmt, darunter siebt ein 150-Mikron-Sieb das feine Material aus, im dritten Tablett sorgt ein ABS-757-Sortierschirm für die weitere Trennung.</p>
<p>Zwei Sammelbehälter nehmen auf, was durchfällt. Eine Edelstahl-Gartenschere mit geraden Klingen und eine weiche Bürste gehören zum Lieferumfang.</p>
<h3>Auf einen Blick:</h3>
<ul>
<li><b>Aufbau:</b> Trimmtablett, Siebtablett und Sortiertablett zum Stapeln</li>
<li><b>Sieb:</b> 150 Mikron</li>
<li><b>Sortierschirm:</b> ABS 757</li>
<li><b>Lieferumfang:</b> Trimmtablett, Siebtablett, Sortiertablett, zwei Sammelbehälter, Edelstahl-Gartenschere, weiche Bürste</li>
</ul>
<h3>Hinweise</h3>
<p>Das Sieb arbeitet nur, wenn das Material trocken genug ist. Bei zu feuchtem Trimmgut verklebt der Siebboden und die Trennung funktioniert nicht mehr.</p>
","<p>Gestapeltes Trimmsystem mit 150-Mikron-Sieb, ABS-757-Sortierschirm, zwei Sammelbehältern, Schere und Bürste.</p>
",AC Infinity Trim-Tablett-System kaufen | Hanfjack,"AC Infinity Trim-Tablett-System: Trimm-, Sieb- und Sortiertablett mit 150-Mikron-Sieb, Schere und Bürste. Jetzt bei Hanfjack bestellen.",AC Infinity Trim-Tablett-System,"Produktdaten Shop und Herstellerangaben, abgerufen 14.09.2026"
28687,HJ-4666548,(sonstige),Ace Seeds Thai x Panama Regular 10er Pack,Regular,fertig,"<p>Die Thai x Panama von Ace Seeds ist eine reine Sativa aus zwei Landrassen: einer Thai aus Chiang Mai und neueren Panama-Elternlinien. Als reguläre Linie liefert sie männliche und weibliche Pflanzen.</p>
<p>Mit 84 bis 91 Tagen Blütezeit gehört sie zu den langsamsten Sorten überhaupt – typisch für unverschnittene Sativa-Landrassen. Dafür ist das Aromaprofil ungewöhnlich vielschichtig: Weihrauch, grüner Tee, Zitrone und Gewürze.</p>
<h3>Auf einen Blick:</h3>
<ul>
<li><b>Kreuzung:</b> Thai Chiang Mai × beste neueste Panama-Eltern</li>
<li><b>Genanteile:</b> 0 % Indica / 100 % Sativa</li>
<li><b>THC:</b> vom Züchter als mittel eingestuft</li>
<li><b>CBD:</b> keine Angabe des Züchters</li>
<li><b>Blütezeit:</b> 84–91 Tage</li>
<li><b>Terpene:</b> Limonen, Caryophyllen und Myrcen</li>
<li><b>Packungsgrößen:</b> 10 Stück</li>
<li><b>Samentyp:</b> regulär (männlich und weiblich)</li>
</ul>
<h3>Aroma</h3>
<p>Als Aroma sind Weihrauch, Grüner Tee, Zitrone, Gewürze, Limette, Vanille und cremig hinterlegt.</p>
<h3>Wirkung</h3>
<p>Die hinterlegte Wirkungsbeschreibung nennt kreativ, energetisch, euphorisch und mentale Klarheit.</p>
<h3>Hinweise</h3>
<p>Bei regulären Samen fallen rund die Hälfte männliche Pflanzen an; für Züchtungsarbeit ist genau das der Zweck. Reine Sativa-Landrassen strecken sich in der Blüte erheblich und brauchen entsprechend Deckenhöhe.</p>
<p><i>Verkauf als Sammlerstück und zu Sammel- und Zuchtzwecken. Die Keimung von Hanfsamen ist in Deutschland nur mit behördlicher Erlaubnis zulässig. Bitte beachte die für Dich geltende Rechtslage.</i></p>
","<p>Reine Sativa-Landrasse aus Thai Chiang Mai und Panama – 84 bis 91 Tage Blüte, regulär, 10 Samen je Packung.</p>
",Thai x Panama Hanfsamen kaufen | Hanfjack,"Thai x Panama von Ace Seeds: reine Sativa-Landrasse, 84–91 Tage Blüte, regulär, 10 Samen. Jetzt bei Hanfjack bestellen.",Thai x Panama Samen,Produktdaten Shop
