id,marke,slug,produkte,beschreibung,seo_title,meta_description,focus_keyword
7049,420flow,420flow,12,"420flow ist eine Düngermarke mit bewusst kleinem Sortiment für alle, die es unkompliziert halten wollen.

Im Mittelpunkt steht ein All-in-One-Dünger, der Wachstum und Blüte abdeckt, ergänzt um einen Booster und pH-Konzentrate. Die Sets fassen die passenden Flaschen für einen kompletten Durchgang zusammen.",420flow Dünger und Sets kaufen | Hanfjack,"420flow: All-in-One-Dünger, Booster und pH-Konzentrate, auch als abgestimmte Sets. Jetzt bei Hanfjack bestellen.",420flow
7644,420z,420z,3,"420z stellt Kräutermischungen als Tabakersatz her – ohne Tabak und ohne Nikotin.

Die Mischungen bestehen aus getrockneten Blättern und Blüten und werden in 20-Gramm-Packungen angeboten. Auch nikotinfreie Mischungen erzeugen beim Verbrennen Schadstoffe; die Abgabe erfolgt erst ab 18 Jahren.",420z Kräutermischungen als Tabakersatz kaufen | Hanfjack,"420z: nikotinfreie Kräutermischungen als Tabakersatz in 20-g-Packungen, Abgabe erst ab 18 Jahren. Jetzt bei Hanfjack bestellen.",420z
8581,AC Infinity,ac-infinity,100,"AC Infinity ist ein US-Hersteller für Lüftungs- und Klimatechnik und im Shop vor allem mit Abluft, Filtern und Steuerung vertreten.

Die Geräte sind über das hauseigene UIS-System miteinander verbunden: Ventilatoren, Sensoren und Controller lassen sich zu einer gemeinsam geregelten Anlage zusammenstecken. Dazu kommen Aktivkohlefilter, Vorfiltertücher, Messtechnik und Werkzeug für die Ernte.","AC Infinity Abluft, Filter und Controller kaufen | Hanfjack","AC Infinity: Rohrventilatoren, Aktivkohlefilter, Sensoren und UIS-Controller für den Innenanbau. Jetzt bei Hanfjack bestellen.",AC Infinity
9072,Ace Seeds,ace-seeds,23,"Ace Seeds ist eine spanische Samenbank mit Schwerpunkt auf Landrassen und deren Erhaltung.

Statt auf maximale Potenz zielt das Programm auf genetische Vielfalt: Sorten aus Malawi, Panama, Kambodscha und dem Himalaya, oft in reiner Form oder als Kreuzung zweier Landrassen. Ein großer Teil des Sortiments ist regulär, weil sich die Linien nur so weiterzüchten lassen.",Ace Seeds Landrassen und Hanfsamen kaufen | Hanfjack,"Ace Seeds: Landrassen aus Malawi, Panama und Kambodscha, überwiegend regulär. Jetzt bei Hanfjack bestellen.",Ace Seeds
16516,Advanced Hydroponics,advanced-hydroponics,42,"Advanced Hydroponics of Holland stellt Nährlösungen und Zusätze her, die für den Anbau ohne Erde ausgelegt sind, sich aber auch in Substrat einsetzen lassen.

Neben dem Dreikomponenten-Grundsystem stehen Zusätze für einzelne Phasen: Bacto Force mit Mikroorganismen für das Wurzelumfeld, Flowering Boost und PK für die Blüte. Die meisten Mittel gibt es in mehreren Gebindegrößen von 100 ml bis zum Kanister.",Advanced Hydroponics Dünger und Zusätze kaufen | Hanfjack,"Advanced Hydroponics of Holland: Nährlösungen, Bacto Force, Flowering Boost und PK. Jetzt bei Hanfjack bestellen.",Advanced Hydroponics
16522,Air-Pot,air-pot,9,"Air-Pot ist ein schottischer Hersteller von Pflanztöpfen mit durchbrochener Wandung.

Die nach außen gerichteten Öffnungen führen dazu, dass Wurzelspitzen an der Luft abtrocknen statt am Topfrand im Kreis zu wachsen. Die Pflanze bildet daraufhin mehr Seitenwurzeln aus. Die Töpfe gibt es von 9 bis 39 Litern, dazu Ersatzschrauben zum Zusammenbau.",Air-Pot Pflanztöpfe kaufen | Hanfjack,"Air-Pot: Töpfe mit durchbrochener Wandung gegen Kreiselwurzeln, von 9 bis 39 Litern. Jetzt bei Hanfjack bestellen.",Air-Pot
4061,Alge,alge,7,"Alge führt Bio-Lebensmittel in Rohkostqualität – Samen, Pulver, Gewürze und Salze.

Im Sortiment stehen unter anderem Chiasamen, schwarzer Sesam, Maca-Pulver, Kokosblütenzucker und Halitsalz. Die Produkte sind biologisch zertifiziert und werden schonend verarbeitet, damit sie Rohkostqualität behalten.",Alge Bio-Lebensmittel in Rohkostqualität kaufen | Hanfjack,"Alge: Bio-Rohkost wie Chiasamen, Maca-Pulver, Kokosblütenzucker und Halitsalz. Jetzt bei Hanfjack bestellen.",Alge
4142,Alltest,alltest,0,"Alltest steht für Schnelltests zum Nachweis von Substanzen im Speichel.

Aus dem Programm stammt ein Speicheltest auf THC mit einer angegebenen Nachweisgrenze von 3,5 ng/ml. Weitergehende Herstellerangaben liegen uns zu dieser Marke nicht in belegbarer Form vor.",Alltest THC Speicheltest kaufen | Hanfjack,"Alltest: Speicheltest auf THC mit einer angegebenen Nachweisgrenze von 3,5 ng/ml. Jetzt bei Hanfjack bestellen.",Alltest
8140,Amsterdam,amsterdam,4,"Amsterdam ist eine Zubehörmarke mit Glas, Aufbewahrung und Rolling-Zubehör.

Im Sortiment stehen Bongs und Öl-Rigs in limitierten Sonderformen, geruchssichere Mylar-Beutel sowie Magnetdeckel für Rolling Trays.","Amsterdam Bongs, Rigs und Zubehör kaufen | Hanfjack","Amsterdam: Bongs und Öl-Rigs in Sonderformen, Mylar-Beutel und Tray-Magnetdeckel. Jetzt bei Hanfjack bestellen.",Amsterdam
9070,Amsterdam Genetics,amsterdam-genetics,37,"Amsterdam Genetics ist eine niederländische Samenbank, deren Sorten aus dem Umfeld der Amsterdamer Coffeeshops stammen.

Im Sortiment stehen Haus-Linien wie White Choco und Tangerine G13 neben Klassikern wie Super Silver Haze. Die meisten Sorten sind feminisiert, einige gibt es zusätzlich in selbstblühender Ausführung.",Amsterdam Genetics Hanfsamen kaufen | Hanfjack,"Amsterdam Genetics: Sorten aus dem Amsterdamer Coffeeshop-Umfeld, feminisiert und Auto. Jetzt bei Hanfjack bestellen.",Amsterdam Genetics
